time,n1,n2,weight
1986,Brazil,Spain,103.0
1986,China,France,742.0
1986,United Stat,Spain,2956.0
1986,Italy,India,249.0
1986,China,India,39.0
1986,Japan,United Stat,29410.0
1986,Russia,China,1353.0
1986,Russia,Japan,3496.0
1986,Italy,Brazil,1140.0
1986,Brazil,Italy,418.0
1986,Russia,France,1677.0
1986,Russia,Brazil,292.0
1986,France,India,277.0
1986,Italy,Russia,2322.0
1986,Brazil,India,4.0
1986,United Stat,Brazil,7340.0
1986,France,China,710.0
1986,Italy,France,14584.0
1986,Spain,Japan,1729.0
1986,China,Italy,1141.0
1986,Russia,Spain,259.0
1986,India,Japan,1931.0
1986,Japan,China,5727.0
1986,Italy,Japan,2099.0
1986,India,France,516.0
1986,United Stat,Italy,11312.0
1986,Brazil,Japan,1077.0
1986,Italy,Spain,1972.0
1986,France,Spain,5345.0
1986,Japan,Italy,1507.0
1986,France,Brazil,1211.0
1986,China,Brazil,710.0
1986,Spain,France,4113.0
1986,Russia,Italy,1795.0
1986,India,Spain,153.0
1986,United Stat,China,5241.0
1986,France,United Stat,9676.0
1986,Spain,China,241.0
1986,Brazil,United Stat,3837.0
1986,United Stat,Russia,606.0
1986,China,United Stat,4718.0
1986,China,Russia,1472.0
1986,Brazil,France,681.0
1986,Brazil,Russia,58.0
1986,Russia,United Stat,1372.0
1986,United Stat,Japan,85457.0
1986,China,Spain,389.0
1986,Spain,Brazil,625.0
1986,India,United Stat,1430.0
1986,United Stat,France,10586.0
1986,Japan,Spain,384.0
1986,Spain,United Stat,3445.0
1986,India,Russia,698.0
1986,Japan,India,1309.0
1986,India,Brazil,212.0
1986,United Stat,India,2465.0
1986,France,Italy,14961.0
1986,France,Japan,4666.0
1986,France,Russia,2640.0
1986,Russia,India,1715.0
1986,Italy,United Stat,5669.0
1986,Brazil,China,434.0
1986,Spain,Russia,299.0
1986,Japan,Brazil,1894.0
1986,India,Italy,311.0
1986,India,China,143.0
1986,China,Japan,12463.0
1986,Spain,Italy,2564.0
1986,Italy,China,683.0
1986,Spain,India,48.0
1986,Japan,France,1870.0
1986,Japan,Russia,1988.0
1987,Brazil,Japan,1033.0
1987,Brazil,India,3.0
1987,Spain,France,6300.0
1987,India,Japan,1742.0
1987,Brazil,United Stat,3771.0
1987,France,United Stat,11296.0
1987,United Stat,China,6910.0
1987,Spain,Italy,4336.0
1987,France,Japan,6022.0
1987,China,Russia,1291.0
1987,Italy,United Stat,6659.0
1987,Japan,United Stat,31957.0
1987,Spain,China,328.0
1987,Italy,Japan,2677.0
1987,France,Spain,6905.0
1987,China,India,30.0
1987,China,Spain,336.0
1987,India,Spain,155.0
1987,Italy,Russia,2847.0
1987,Japan,China,7478.0
1987,Brazil,China,426.0
1987,United Stat,France,11177.0
1987,Russia,Japan,2845.0
1987,Italy,Spain,2799.0
1987,Italy,China,1024.0
1987,Spain,Russia,839.0
1987,Brazil,Italy,398.0
1987,India,United Stat,1503.0
1987,India,Russia,1211.0
1987,United Stat,Brazil,8433.0
1987,Spain,Japan,2209.0
1987,China,Japan,10087.0
1987,China,United Stat,4836.0
1987,Russia,India,1518.0
1987,United Stat,India,2725.0
1987,Japan,Russia,2368.0
1987,Brazil,Russia,96.0
1987,Italy,Brazil,1450.0
1987,Brazil,France,718.0
1987,Japan,Italy,2154.0
1987,Russia,Spain,278.0
1987,Russia,Brazil,417.0
1987,France,Italy,18487.0
1987,Japan,France,2899.0
1987,India,China,110.0
1987,United Stat,Spain,3101.0
1987,United Stat,Russia,470.0
1987,China,Italy,1248.0
1987,Brazil,Spain,132.0
1987,India,France,585.0
1987,Japan,India,1546.0
1987,France,China,1099.0
1987,Spain,India,77.0
1987,United Stat,Japan,88074.0
1987,India,Brazil,278.0
1987,Russia,United Stat,1628.0
1987,United Stat,Italy,11698.0
1987,Spain,Brazil,598.0
1987,Russia,France,1928.0
1987,India,Italy,423.0
1987,France,Brazil,1251.0
1987,Russia,Italy,2428.0
1987,France,India,374.0
1987,France,Russia,2548.0
1987,Japan,Spain,456.0
1987,China,Brazil,453.0
1987,Japan,Brazil,2052.0
1987,Italy,France,18266.0
1987,Spain,United Stat,4067.0
1987,China,France,899.0
1987,Italy,India,408.0
1987,Russia,China,1372.0
1988,Brazil,Japan,1164.0
1988,India,France,631.0
1988,Russia,India,1883.0
1988,Italy,Brazil,1665.0
1988,Russia,Italy,2323.0
1988,Spain,China,384.0
1988,United Stat,Italy,12300.0
1988,China,Italy,1552.0
